,start_date,1100 Spruce St,1100 Walnut St,1360 Gillaspie Dr,1500 Pearl St,3172 Broadway,900 Walnut St
0,2018-01-01,,,,,,
1,2018-01-02,,,,,,
2,2018-01-03,,,,,,
3,2018-01-04,,,,,,
4,2018-01-05,,,,,,
5,2018-01-06,,,,1.392,,
6,2018-01-07,,,,,,
7,2018-01-08,,,,,,
8,2018-01-09,,,,,,
9,2018-01-10,,,,,,
10,2018-01-11,,,,,,
11,2018-01-12,,,,,,
12,2018-01-13,,,,,,
13,2018-01-14,,,,,,
14,2018-01-15,,,8.198,,,
15,2018-01-16,,,,,,21.184
16,2018-01-17,,,26.25,,,24.248
17,2018-01-18,,,28.35,12.373999999999999,,
18,2018-01-19,,,17.83,,,
19,2018-01-20,,,6.046,,,
20,2018-01-21,,,22.672,,,
21,2018-01-22,,,,,,
22,2018-01-23,,,20.186,,,
23,2018-01-24,,,4.254,,,
24,2018-01-25,0.344,,36.721999999999994,13.974,,0.464
25,2018-01-26,,,14.450000000000001,,,16.374
26,2018-01-27,,,8.36,14.758,,
27,2018-01-28,,,33.897999999999996,,,9.236
28,2018-01-29,,,,,,
29,2018-01-30,,,29.736,,,
30,2018-01-31,5.678000000000001,,7.874,,,24.6342
31,2018-02-01,22.502000000000002,,,,,90.8258
32,2018-02-02,,,23.958,14.041999999999998,,179.958
33,2018-02-03,,,,30.986,,16.046
34,2018-02-04,,,18.874,,,
35,2018-02-05,,,,,,49.377497630331746
36,2018-02-06,4.674,,17.698,,,33.13650236966825
37,2018-02-07,,,4.63,,,58.802
38,2018-02-08,,,63.122,37.06,,65.47
39,2018-02-09,,,47.804,,,44.001999999999995
40,2018-02-10,7.102,,,12.108,,31.262
41,2018-02-11,8.712,,9.724,34.906,,28.572
42,2018-02-12,,,13.374,18.68,,23.698
43,2018-02-13,,,43.806,,,47.956
44,2018-02-14,10.216,,13.594,0.028,,24.918
45,2018-02-15,28.714,,24.474,,,28.746
46,2018-02-16,17.248,,12.716,11.21,,63.994
47,2018-02-17,,,,,,72.04599999999999
48,2018-02-18,2.004,,21.358,36.706,,49.708
49,2018-02-19,,,6.048,26.697927710843373,,28.108
50,2018-02-20,22.434,,27.756,32.79807228915662,,47.55
51,2018-02-21,47.31399999999999,,7.404,31.984,,
