,station_name,start_date,end_date,missing_days_count,total_days_per_station,missing_days_percentage
0,"Balunie Drive, Dundee",2017-01-09,2018-12-08,24,699,3.4334763948497855
1,"Brington Place Sheltered Housing, Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
2,"DCC Environment, 34 Harefield Road",2017-01-09,2018-12-07,23,698,3.29512893982808
3,"Dock Street, Dundee",2017-01-09,2018-12-08,23,699,3.290414878397711
4,"Dundee House, Dundee",2017-01-09,2018-12-07,26,698,3.7249283667621778
5,"Dundee Ice Arena, Dundee",2017-01-09,2018-12-08,169,699,24.177396280400572
6,"Earn Cresent, Dundee",2017-01-09,2018-12-06,89,697,12.769010043041607
7,"Gellatly Street Car Park, Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
8,"Greenmarket Multi Car Park, Dundee",2017-01-09,2018-12-08,200,699,28.612303290414882
9,"Housing Office East, Dundee",2017-01-09,2018-12-08,24,699,3.4334763948497855
10,"Housing Office West, Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
11,"Janet Brougham House, Dundee",2017-01-09,2018-12-03,51,694,7.348703170028818
12,"Marchbanks, Dundee",2017-01-09,2018-12-08,23,699,3.290414878397711
13,"Nethergate, Dundee",2017-01-09,2018-12-08,31,699,4.434907010014307
14,"Olympia Multi-Storey Car Park, Dundee",2017-01-09,2018-12-07,28,698,4.011461318051576
15,"Public Works Dept, Clepington Rd. Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
16,"Queen Street Car Park, Broughty Ferry, Dundee",2017-01-09,2018-12-08,74,699,10.586552217453505
17,Sinclair Street,2017-01-09,2018-12-03,101,694,14.553314121037463
18,"Social Work Building, Jack Martin Way, Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
19,South Tay Street,2017-01-09,2018-12-08,77,699,11.015736766809727
20,Trades Lane,2017-01-09,2018-12-06,61,697,8.751793400286944
21,"Whitfield Centre, Dundee",2017-01-09,2018-12-08,22,699,3.1473533619456364
22,"Menziehill House, Dundee",2017-01-10,2018-12-08,24,698,3.4383954154727796
23,"Turriff House Rannoch Road, Dundee",2017-01-10,2018-12-07,62,697,8.895265423242469
24,"University of Dundee, Nethergate, Dundee",2017-01-11,2018-12-06,152,695,21.8705035971223
25,"Mitchell Street, Dundee",2017-02-11,2018-12-07,35,665,5.263157894736842
