Station,Latitude,Longitude
PALO ALTO CA / BRYANT # 1,37.446651,-122.161919
PALO ALTO CA / BRYANT #1,37.44661121,-122.1623077
PALO ALTO CA / BRYANT #2,37.4465089,-122.1621416
PALO ALTO CA / BRYANT #3,37.446583,-122.162109
PALO ALTO CA / BRYANT #4,37.446785,-122.162369
PALO ALTO CA / BRYANT #5,37.44669,-122.162231
PALO ALTO CA / BRYANT #6,37.446667,-122.16217
PALO ALTO CA / CAMBRIDGE #1,37.42623822,-122.1460379
PALO ALTO CA / CAMBRIDGE #2,37.42627973,-122.1460338
PALO ALTO CA / CAMBRIDGE #3,37.426208,-122.146011
PALO ALTO CA / CAMBRIDGE #4,37.426178,-122.146034
PALO ALTO CA / CAMBRIDGE #5,37.426228,-122.145981
PALO ALTO CA / HAMILTON #1,37.44449327,-122.1603669
PALO ALTO CA / HAMILTON #2,37.44458436,-122.1601961
PALO ALTO CA / HIGH #1,37.4434336,-122.1629311
PALO ALTO CA / HIGH #2,37.44327657,-122.1631581
PALO ALTO CA / HIGH #3,37.44334653,-122.1631066
PALO ALTO CA / HIGH #4,37.44352445,-122.1629788
PALO ALTO CA / MPL #1,37.422146,-122.112511
PALO ALTO CA / MPL #2,37.422169,-122.11248
PALO ALTO CA / MPL #3,37.422119,-122.112556
PALO ALTO CA / MPL #4,37.422104,-122.11351
PALO ALTO CA / MPL #5,37.42212149,-122.113486
PALO ALTO CA / MPL #6,37.4221364,-122.1134533
PALO ALTO CA / RINCONADA LIB 1,37.44549631,-122.1388613
PALO ALTO CA / RINCONADA LIB 2,37.44549838,-122.1388964
PALO ALTO CA / RINCONADA LIB 3,37.4454956,-122.1389317
PALO ALTO CA / SHERMAN 1,37.426598,-122.143288
PALO ALTO CA / SHERMAN 11,37.42672,-122.143326
PALO ALTO CA / SHERMAN 14,37.426777,-122.143311
PALO ALTO CA / SHERMAN 15,37.426773,-122.143402
PALO ALTO CA / SHERMAN 17,37.426823,-122.143394
PALO ALTO CA / SHERMAN 2,37.426537,-122.143341
PALO ALTO CA / SHERMAN 3,37.42662,-122.143326
PALO ALTO CA / SHERMAN 4,37.426563,-122.143379
PALO ALTO CA / SHERMAN 5,37.426643,-122.143372
PALO ALTO CA / SHERMAN 6,37.426582,-122.143425
PALO ALTO CA / SHERMAN 7,37.426655,-122.143417
PALO ALTO CA / SHERMAN 8,37.426617,-122.143456
PALO ALTO CA / SHERMAN 9,37.42667,-122.143257
PALO ALTO CA / TED THOMPSON #1,37.428318,-122.144188
PALO ALTO CA / TED THOMPSON #2,37.42857,-122.143929
PALO ALTO CA / TED THOMPSON #3,37.428623,-122.144043
PALO ALTO CA / TED THOMPSON #4,37.4286,-122.14399
PALO ALTO CA / WEBSTER #1,37.44829771,-122.1582655
PALO ALTO CA / WEBSTER #2,37.44825424,-122.1581972
PALO ALTO CA / WEBSTER #3,37.44875471,-122.1580248
