,station_name,start_date,end_date,missing_days_count,total_days_per_station,missing_days_percentage
0,"Broxden Park & Ride, Perth",2016-01-09,2019-12-08,174,1430,12.167832167832168
1,"Friarton Depot, Perth",2016-01-09,2019-12-08,56,1430,3.9160839160839163
2,"Kinross Park and Ride, Kinross",2016-01-09,2019-12-08,256,1430,17.902097902097903
3,"Leslie Street Car Park, Blairgowrie",2016-01-09,2019-12-08,418,1430,29.230769230769234
4,"Rie-Achan Road Car Park, Pitlochry",2016-01-09,2019-12-08,28,1430,1.9580419580419581
5,"South Inch Car Park, Perth",2016-01-09,2019-12-08,275,1430,19.230769230769234
6,"Crown Inn Wynd Car Park, Auchterarder",2016-01-10,2019-12-08,444,1429,31.07067879636109
7,"King Street Car Park, Crieff",2016-01-10,2019-12-08,297,1429,20.78376487053884
8,"Moness Terrace Car Park, Aberfeldy",2016-01-10,2019-12-08,415,1429,29.041287613715884
9,"Canal Street Car Park 3rd floor, Perth",2016-12-21,2019-12-08,120,1083,11.080332409972298
